Transaction Time|Transaction Type|Serial #|Buyer|Seller|Amount|Market ID
1687207503.119534099|CRYPTOTRANSFER|255|0.0.1317633|0.0.623641|420.0|zuse
1685207861.100817003|CRYPTOTRANSFER|257|0.0.692010|0.0.486935|600.0|zuse
1684025527.173835982|CRYPTOTRANSFER|258|0.0.1843650|0.0.486935|600.0|zuse
1684284993.386884719|CRYPTOTRANSFER|259|0.0.2580189|0.0.486935|600.0|zuse
1683863987.091155652|CRYPTOTRANSFER|260|0.0.844175|0.0.657759|450.0|zuse
1685507868.963308590|CRYPTOTRANSFER|260|0.0.1952570|0.0.844175|500.0|zuse
1684883154.006394699|CRYPTOTRANSFER|261|0.0.694647|0.0.355724|1000.0|zuse
1683877574.161534783|CRYPTOTRANSFER|269|0.0.694647|0.0.1289109|499.0|zuse
1684195871.358582003|CRYPTOTRANSFER|270|0.0.1498096|0.0.1289109|499.0|zuse
1686894324.183866843|CRYPTOTRANSFER|270|0.0.893956|0.0.774039|450.0|zuse
1683918582.806048003|CRYPTOTRANSFER|271|0.0.1176324|0.0.1289109|599.0|zuse
1684195859.097801003|CRYPTOTRANSFER|272|0.0.1498096|0.0.1289109|499.0|zuse
1686894335.867735922|CRYPTOTRANSFER|272|0.0.893956|0.0.774039|450.0|zuse
1684034670.575613003|CRYPTOTRANSFER|275|0.0.456097|0.0.501869|497.32238912|zuse
1689442887.649777755|CRYPTOTRANSFER|276|0.0.274642|0.0.793407|369.0|sentx
1686678033.169156003|CRYPTOTRANSFER|277|0.0.1320188|0.0.709011|700.0|zuse
1690521563.048210003|CRYPTOTRANSFER|277|0.0.2104123|0.0.1290721|370.0|zuse
1686482113.436850003|CRYPTOTRANSFER|279|0.0.1320188|0.0.1789054|696.69|zuse
1690918334.260319272|CRYPTOTRANSFER|279|0.0.2336576|0.0.1290721|249.82245424|zuse
1684535844.582141797|CRYPTOTRANSFER|280|0.0.1512276|0.0.1789054|696.69|zuse
1684024478.966697868|CRYPTOTRANSFER|281|0.0.1843650|0.0.657417|1087.0|zuse
1683925820.973424003|CRYPTOTRANSFER|283|0.0.2178706|0.0.748341|495.0|zuse
1685271329.046902849|CRYPTOTRANSFER|291|0.0.692010|0.0.813799|500.0|zuse
1685507980.701060139|CRYPTOTRANSFER|292|0.0.1952570|0.0.813799|600.0|zuse
1687545144.590902003|CRYPTOTRANSFER|293|0.0.2657668|0.0.813799|450.0|zuse
1684179562.499928003|CRYPTOTRANSFER|296|0.0.2156882|0.0.2126561|500.0|zuse
1684285592.848470154|CRYPTOTRANSFER|297|0.0.2580189|0.0.2126561|500.0|zuse
1684958159.347479003|CRYPTOTRANSFER|304|0.0.660029|0.0.636554|510.0|zuse
1684320056.563398111|CRYPTOTRANSFER|306|0.0.2580189|0.0.814382|2000.0|zuse
1689870296.681302201|CRYPTOTRANSFER|312|0.0.793407|0.0.1290076|475.0|sentx
1690353920.072281003|CRYPTOTRANSFER|312|0.0.1757800|0.0.793407|207.5|sentx
1690354093.741486083|CRYPTOTRANSFER|312|0.0.1897614|0.0.1757800|250.0|sentx
1685968962.688076003|CRYPTOTRANSFER|317|0.0.1757800|0.0.844175|500.0|zuse
1685507955.682674650|CRYPTOTRANSFER|322|0.0.1952570|0.0.844175|500.0|zuse
1684537651.171998204|CRYPTOTRANSFER|323|0.0.1990138|0.0.844175|600.0|zuse
1688242669.513576003|CRYPTOTRANSFER|323|0.0.1280779|0.0.1990138|360.0|zuse
1692400074.001068585|CRYPTOTRANSFER|326|0.0.3004265|0.0.774039|288.75|sentx
1684985326.347215966|CRYPTOTRANSFER|327|0.0.731547|0.0.516255|579.0|zuse
1686889564.821238003|CRYPTOTRANSFER|329|0.0.508239|0.0.1385889|444.0|sentx
1689274802.481695003|CRYPTOTRANSFER|331|0.0.1318185|0.0.467167|380.0|sentx
1684880274.994959792|CRYPTOTRANSFER|333|0.0.2657668|0.0.510815|465.0|zuse
1686089000.355936040|CRYPTOTRANSFER|334|0.0.660029|0.0.585529|600.0|zuse
1692319796.522748814|CRYPTOTRANSFER|335|0.0.2135513|0.0.814382|2051.0|zuse
1685192332.344400803|CRYPTOTRANSFER|349|0.0.1413236|0.0.655736|570.0|zuse
1685192342.237192626|CRYPTOTRANSFER|350|0.0.1413236|0.0.655736|570.0|zuse
1684363684.021353213|CRYPTOTRANSFER|352|0.0.2580189|0.0.793407|1222.88|zuse
1684355082.386173741|CRYPTOTRANSFER|353|0.0.1067445|0.0.793407|520.0|zuse
1684195845.913220003|CRYPTOTRANSFER|364|0.0.1498096|0.0.567851|475.0|zuse
1686873923.367717003|CRYPTOTRANSFER|364|0.0.1498096|0.0.774039|400.0|zuse
1687803475.986299003|CRYPTOTRANSFER|366|0.0.2104123|0.0.789588|385.0|zuse
1686678088.746413474|CRYPTOTRANSFER|367|0.0.1320188|0.0.510265|525.0|zuse
1692400488.517746853|CRYPTOTRANSFER|369|0.0.621366|0.0.456022|290.0|zuse
1684701050.066559435|CRYPTOTRANSFER|371|0.0.617606|0.0.793407|333.0|zuse
1688061620.326071689|CRYPTOTRANSFER|371|0.0.2104123|0.0.617606|400.0|zuse
1689536876.817621003|CRYPTOTRANSFER|372|0.0.1133503|0.0.1503696|375.0|zuse
1684042442.145069788|CRYPTOTRANSFER|373|0.0.694647|0.0.793407|669.0|zuse
1684039873.820990003|CRYPTOTRANSFER|374|0.0.2175000|0.0.793407|504.2|zuse
1684416367.514655712|CRYPTOTRANSFER|374|0.0.2657668|0.0.2175000|450.0|zuse
1684296484.818945003|CRYPTOTRANSFER|376|0.0.1952570|0.0.814382|2000.0|zuse
1692335396.874246003|CRYPTOTRANSFER|380|0.0.844175|0.0.582554|299.0|zuse
1684467920.155184809|CRYPTOTRANSFER|385|0.0.2680786|0.0.512336|444.0|zuse
1684620421.977483147|CRYPTOTRANSFER|387|0.0.1990138|0.0.910353|700.0|zuse
1688031335.355496189|CRYPTOTRANSFER|387|0.0.700278|0.0.1990138|425.0|zuse
1683992927.785242003|CRYPTOTRANSFER|392|0.0.1727894|0.0.814382|525.0|zuse
1690997993.333036199|CRYPTOTRANSFER|396|0.0.1498096|0.0.1334992|245.0|zuse
1690998041.929043003|CRYPTOTRANSFER|397|0.0.1498096|0.0.1334992|245.0|zuse
1690998052.691343384|CRYPTOTRANSFER|398|0.0.1498096|0.0.1334992|245.0|zuse
1689811153.405735003|CRYPTOTRANSFER|405|0.0.3000626|0.0.1063893|350.0|zuse
1684028040.688559003|CRYPTOTRANSFER|408|0.0.830192|0.0.1035754|499.0|zuse
1688049578.509931003|CRYPTOTRANSFER|410|0.0.274642|0.0.814382|450.0|sentx
1687604046.676990003|CRYPTOTRANSFER|411|0.0.1757800|0.0.1990138|1575.0|zuse
1683979538.173862003|CRYPTOTRANSFER|415|0.0.692010|0.0.898540|400.0|zuse
1683961979.036140003|CRYPTOTRANSFER|417|0.0.2318327|0.0.1035754|498.0|zuse
1684285071.443521003|CRYPTOTRANSFER|418|0.0.2580189|0.0.557223|510.0|zuse
1687109488.511686003|CRYPTOTRANSFER|424|0.0.2336576|0.0.657657|420.0|zuse
1689239738.664525470|CRYPTOTRANSFER|429|0.0.2962412|0.0.793407|400.69|zuse
1689754669.506950003|CRYPTOTRANSFER|429|0.0.1644184|0.0.2962412|250.0|sentx
1688141958.201924993|CRYPTOTRANSFER|440|0.0.958730|0.0.599826|420.52132096|sentx
1684878195.305199036|CRYPTOTRANSFER|442|0.0.2104123|0.0.657657|2500.0|zuse
1684374169.317394035|CRYPTOTRANSFER|447|0.0.2657668|0.0.910353|499.0|zuse
1684434151.143130739|CRYPTOTRANSFER|448|0.0.2680786|0.0.910353|499.0|zuse
1684621313.179335003|CRYPTOTRANSFER|450|0.0.1498096|0.0.910353|444.0|zuse
1684141405.015390747|CRYPTOTRANSFER|451|0.0.2318327|0.0.910353|700.0|zuse
1684598548.923847003|CRYPTOTRANSFER|452|0.0.997927|0.0.910353|469.0|zuse
1684285661.957318003|CRYPTOTRANSFER|453|0.0.2580189|0.0.910353|999.0|zuse
1684373290.975336831|CRYPTOTRANSFER|454|0.0.2657668|0.0.910353|499.0|zuse
1686895017.520410003|CRYPTOTRANSFER|454|0.0.657657|0.0.2657668|530.0|zuse
1687109499.791971003|CRYPTOTRANSFER|454|0.0.2336576|0.0.657657|420.0|zuse
1684434234.259435003|CRYPTOTRANSFER|455|0.0.2680786|0.0.910353|499.0|zuse
1684880311.486524003|CRYPTOTRANSFER|457|0.0.2657668|0.0.910353|469.0|zuse
1692466662.358245831|CRYPTOTRANSFER|460|0.0.1705905|0.0.813132|295.0|zuse
1684201255.294130386|CRYPTOTRANSFER|465|0.0.2104123|0.0.657657|450.0|zuse
1689451182.504181534|CRYPTOTRANSFER|465|0.0.2121560|0.0.679541|500.0|zuse
1685538255.126483003|CRYPTOTRANSFER|466|0.0.774039|0.0.700278|500.0|zuse
1686988256.932768771|CRYPTOTRANSFER|466|0.0.2012311|0.0.774039|475.0|zuse
1690214697.225584148|CRYPTOTRANSFER|466|0.0.2007347|0.0.2012311|332.0|zuse
1684958023.057598003|CRYPTOTRANSFER|467|0.0.660029|0.0.631157|525.0|zuse
1684361967.587370003|CRYPTOTRANSFER|469|0.0.617606|0.0.833502|450.0|zuse
1685505105.845979301|CRYPTOTRANSFER|469|0.0.1498096|0.0.617606|530.0|zuse
1688271524.291782003|CRYPTOTRANSFER|470|0.0.2104123|0.0.617606|390.0|zuse
1689213018.577929003|CRYPTOTRANSFER|471|0.0.2012311|0.0.835561|350.0|sentx
1692558869.060086003|CRYPTOTRANSFER|471|0.0.844175|0.0.2012311|270.0|sentx
1684731744.358263845|CRYPTOTRANSFER|472|0.0.694647|0.0.793407|450.0|zuse
1684165910.652495003|CRYPTOTRANSFER|473|0.0.694647|0.0.700278|400.0|zuse
1685505142.834746003|CRYPTOTRANSFER|474|0.0.1498096|0.0.693645|520.0|zuse
1687762476.651832373|CRYPTOTRANSFER|475|0.0.2998555|0.0.673124|350.0|zuse
1684438004.541734534|CRYPTOTRANSFER|476|0.0.617606|0.0.700278|400.0|zuse
1686381082.461037003|CRYPTOTRANSFER|476|0.0.1228779|0.0.617606|550.0|zuse
1685991145.834996003|CRYPTOTRANSFER|477|0.0.2657668|0.0.557223|480.0|zuse
1689643423.148541805|CRYPTOTRANSFER|478|0.0.958730|0.0.655736|374.20540704|sentx
1685230671.262685328|CRYPTOTRANSFER|480|0.0.2657668|0.0.700278|500.0|zuse
1685485166.418601003|CRYPTOTRANSFER|481|0.0.774039|0.0.700278|375.0|zuse
1686894346.263404003|CRYPTOTRANSFER|481|0.0.893956|0.0.774039|450.0|zuse
1688850090.140340003|CRYPTOTRANSFER|481|0.0.1280779|0.0.657657|325.0|zuse
1684644879.184617003|CRYPTOTRANSFER|482|0.0.694647|0.0.700278|500.0|zuse
1685365580.481806003|CRYPTOTRANSFER|483|0.0.694647|0.0.700278|400.0|zuse
